prompt_2a31191ba2b1450d2f8f74960ee96d1a|they have free coffee.
eles tem um cafe de cafe|0.0

prompt_5cecdefb7e45a2b0c1429089022566a9|please, do not wake her now.
por favor , obrigada , nao esta a cuidar dela ?|0.0

prompt_9ce533efafbd60f5c48f1673bec8ec60|there's a hotel close to the village.
ha um hotel perto do que vem|0.0

prompt_3785adf89d5b63317dc37c1cb9074858|i want to see the world.
eu quero ver o o nosso|0.0

prompt_001169e0b09e761a9d66ee32be5ddad3|do they like each other?
eles gostam de um outro cachorro ?|0.0

prompt_cb379aa6985650174334a193d4bde6ed|is that your home address?
aquela e a vossa casa ?|0.0

prompt_a5ab39d0f00a4935475690f6f4c49358|i have already heard that song.
eu tenho que eu tenho de comprar isso ?|0.0

prompt_3d9937a2a78749be0aa41dcbc5743277|i have a problem.
eu tenho um lapis ?|0.0

prompt_9617810cf66301cfa33d2ee88ca46680|he's not going to come again.
ele nao vai vir de novo|0.0

prompt_40cf4395efa52a16e61d9208dd68bede|i need a bigger size.
eu preciso de um maior envelope|0.0

prompt_40e56b1ced1bcfc5326e9f8d8a7de7d3|would you like to try on those shoes?
voce gostaria de experimentar esses sapatos ?|0.0

prompt_bf708bb9301bad9b3e753a1ac995da16|they'll go fishing again.
eles irao a um passeio de novo|0.0

prompt_b6681e3f85b0114ad178964d03b53eef|what do they look like?
eles estao achando ?|0.0

prompt_c23cfb160eb910ba55cd46412410baf2|the bowls are in the cabinet on the right.
os potes estao no o lado direito|0.0

prompt_929b065ae3985c59c26fca7513ebb8f9|how much is the tax?
quanto e o valor daqueles relogios ?|0.0

prompt_d0c6601e80e7e86be373478624721e63|she has to finish this version by next monday.
ela tem que esta a acabar a mensagem na segunda feira|0.0

prompt_6757f352dea3972982ae9d7e4b661ceb|they work at a university.
eles trabalham em uma universidade|0.6161058290321834

prompt_b47161fbfeb0e57b9ce07fc64a745159|joseph was not at work yesterday.
o seu trem no momento|0.0

prompt_2a7691241a76252c4f979f22d7002156|that is the best offer i have ever received.
isso e a duo a todas as melhores solucoes|0.0

prompt_d897fa683529a93c4bcecb3ad5db1724|my oldest sister lives in the uk.
minha filha pequena esta a residir no reino unido|0.0

prompt_75b2b2a41d76c754f980ccd67e5cc30e|when can we practice singing?
nos estamos a fazer uma bicicleta ?|0.0

prompt_1c25416284e88ef7a4d112127fb89c39|this is a nice apartment too.
este e um grande dia|0.0

prompt_76100515a96ad884f2dc024486172ed1|my parents spoke spanish at home.
meus pais estao a iniciar em casa|0.0

prompt_1462d0aeb800304f1fb66d5a0bf5d5c7|my children love winter.
meus filhos estao a adorar o seu proprio|0.0

prompt_d22bc7db377d332db9c4f2c1bc708617|pop is my favorite kind of music.
a hockey e a gostar de grande de violao|0.0

prompt_b3dcfe93b2a74b295ee772f474bb4747|is she a good soccer player?
ela e uma boa ideia de galinha ?|0.0

prompt_10f89b16815409f3084aac74f4141e10|have you guys ever gone camping?
voces ja surfaram ?|0.0

prompt_cc4e43615b47662e095f506441321a54|the answer is on page eighty five.
a resposta esta na pagina da franca|0.0

prompt_d8cfc9e873d7c069d25311015bb6b345|i will find a job tomorrow.
eu vou achar um trabalho ?|0.0

prompt_a64dd4804e79b37aa83e9e9057cfe80e|that is a really good movie.
essa e uma boa ideia|0.0

prompt_c205277d6d2b54505fd13b77d3a50e2e|how long will it take to cross the ocean?
vai levar quanto tempo vai levar para ser que vai levar para ser ?|0.0

prompt_dfba22fdba55d78bc540c91eaad50579|did he do it by himself?
ele tem que ela se cortou a sua conta ?|0.0

prompt_315a04e3cc7b3f6c5ec7ad7bd9fd089b|what time is dinner?
que horas e o mais ?|0.0

prompt_4c3a64219bf8de73c9ad9c527f98f44f|will they exercise tomorrow?
eles vao me permitiram me ?|0.0

prompt_9d3a4293bfd824a802d17b4cfff207e5|he hasn't met my grandma yet.
ele nao se encontrou a minha companheira|0.0

prompt_0629b832f290adcaee9b0a65e10c2f22|i will lose my house.
eu vou pegar minha casa|0.0

prompt_3082bc7c5726dec4807e5c5771411f17|they've never had a boring party.
eles nunca tiveram uma vez por nos|0.0

prompt_2c95ac17d4c9f467d979485c685a2113|we're going to egypt next year.
nos vamos para o egito no proximo ano|0.0

prompt_b5938468895ba645c79714a22004a42c|can she pick up all of those plates?
ela pode fazer o perigo|0.0

prompt_2fdc5640e82555271163a3c7fabe3e8c|has the mouse packed its suitcase yet?
o rato ja se dela ?|0.0

prompt_f55aef2429df8ae4f31b598f065e29f4|are you busy tonight?
voce esta noite ?|0.0

prompt_b61f8811b5575744b9a0591b56b81000|the flower shop is just before the mall.
a floricultura e grande e de compras|0.0

prompt_d4744390a37dd93e5db270c6221b6481|there is a golden key that opens this box.
ha uma a chave de abrir esta caixa ?|0.0

prompt_4f4570614bf161533fcdc2e796e725c7|i had a chat with my best friend.
eu tive uma conversa com a minha melhor amigo|0.0

prompt_2e7542225fc5bba9ef4a6bb4d4ddfc57|my grandfather gave me his watch.
meu avo me lembrar de seu hotel|0.0

prompt_26c84d97e147910c76e52e5913dfb036|there are four banks on this street.
existem camas de rua , esta rua|0.0

prompt_4dbb1424eb0cd94783a8e9d7da189893|the restaurant is inside the hospital.
o restaurante e no restaurante a um hospital|0.0

prompt_315baf33fb2d55b96e38725937a74256|can i sit here?
eu sou capaz de sentar aqui ?|0.0

prompt_ada4ca1855ecec1d1a6a3bbaa30a18cc|i will pay in cash.
eu vou de tirar o inicio|0.0

prompt_b9a16e9162a7ebd98181d352b361bca5|i am not as tired as you.
eu nao estou tao cansada como voce|0.0

prompt_128909a1eb8c27f91d3c6fdd00d3909e|the bear traveled to japan by ship.
o urso viajou ao japao por conta propria|0.0

prompt_48391433d48a39a17faa6a2bb6111d6b|the dog ate my burger!
o cao comeu os meus dentes !|0.0

prompt_171db575d7133aec624e3fd10c48b32c|why did you stay at that job?
porque voce estava a fazer nesse trabalho ?|0.0

prompt_f0dbce12449d22261e2a80630d0fe2f0|tom has lost every match since then.
a equipe do semestre novo|0.0

prompt_c3c63ca1feefdc89706ac0f5df21bd6b|do they have jobs?
eles tem empregos ?|0.0

prompt_a90f042804669abb6693cc87a487cd38|the vegetables from the supermarket are not very fresh.
as verduras sao mais rapido e muito nao|0.0

prompt_daed135451139e01a5dc268d5c64cc5c|i am getting my diploma next week.
eu estou a vou pegar o meu certificado em seu aniversario !|0.0

prompt_7d68d3af043b4de9e0373c50a18137a4|we might win this game.
pode ser que pode ser que isso|0.0

prompt_f8ab1a9fba25df918ca760dd1c3b2590|let's make omelets for breakfast.
vamos fazer um cafe da manha ?|0.0

prompt_5a426e6d3915a97367e9d89388e05079|the skirts are too expensive.
a estoria tem muito caro|0.0

prompt_d198f33dd74a0b35a296c6bc17a06318|i remember when i started to cover this subject.
eu me eu iria nevar|0.0

prompt_5c7abb4f25fa9c6afd32f135433661fd|you can't take a train from here.
voce nao pode fazer uma cama de banho ?|0.0

prompt_b14cb46d74157245070aa5af69f694a8|what i want is for them to talk, they are brothers.
que quero que eles estao a elas estao a elas estao a elas estao a elas estao a elas estao|0.0

prompt_a04163b0c003600d0542b76000366612|the mouse learned a lot of songs in spanish.
o rato diretor de bastante tempo em demasia na equipa de rosa|0.0

prompt_41c3328244285c8b4b464efc5b1fc504|normally, men are taller than women.
o senhor , estao a gostar de tomar mais ou menos que de voces|0.0

prompt_1b703782d859ceaa3ec63951488b4787|her pants are too small.
a calca dela tem grandes demais|0.0

prompt_f3163c3550a77bbcb53f96efe769824a|he is going to ireland to visit his parents, isn't he?
ele vai a ir para a sua conhecer os seus pais se nao e de tirar o seu professor ,|0.0

prompt_2f8f7ccfaa43ebd633b235aaf8f286a2|mary's neck hurts when she reads.
a maria esta a uma bicicleta em relacao a ler ?|0.0

prompt_270ddcdfe39573ca402acc9037703bc8|who walked with you to the museum?
quem dirigiu para o museu ?|0.0

prompt_3b55225166af9da92de1f9c6db549e1c|what part of africa are you from?
qual e que e que voce e que voce e ?|0.0

prompt_5b5000c41e8c8c8383918a9eedb91c89|it is a new section.
isso e um novo cachecol|0.0

prompt_aa9209e6199b646c310e8fc7554b340c|he assumes we are human.
ele supoe que somos humanos|0.0

prompt_3881efb817e4ca6c8fd1c00ae844d5aa|those shoes are expensive.
esses sapatos sao caras ?|0.0

prompt_d152609c6085cbdb594be4159ad36231|there was a great lack of rice that year.
havia uma falta de bicicleta e de novo|0.0

prompt_d14b6e6736090a73bbfad2ce4867d4e3|how much is the rent?
quanto e o valor do aluguel ?|0.0

prompt_784da2f4c440b3c694fe1e46296d501c|julia likes music.
a sua musica soul|0.0

prompt_170dc554aa7a0ccd62536b4bc51aa8f9|the plane will be taking off as soon as possible.
o aviao ira ser a sua filme como possivel|0.0

prompt_99507e4637281dc7eff0013e44b3b7a8|where is the concert?
onde e o show ?|0.0

prompt_ead4d9834ffdb7646451006451ba9234|can you give me another example?
voce pode me dar um pouco de me um exemplo ?|0.0

prompt_e7672ea0e54d20962e52a6a042c0bf8d|the boss knew about the problems.
o chefe sabia do cabelo do cavalo|0.0

prompt_1fdcc4b1357baba608acc538b8a8cd14|my favorite jacket.
minha cor de dentes|0.0

prompt_fb9f2f8918f9546ca32f36b837302482|i do not think so.
eu nao penso isso|0.0

prompt_4d8793360b5f29161f003f19f8130d66|smoking is bad for you.
o aprendizado e importante para voce|0.0

prompt_d6dd45078e3d44e7b7e19f8ce132ad58|we stopped dancing at 1 a.m.
nos fomos futebol na funcao de trabalho de pe|0.0

prompt_f51a71bed40b9c50e66e4616f28ca44d|are you making a sandwich now?
voce esta a fazer um sanduiche neste momento ?|0.0

prompt_7d7f19cfb33cdeca9d9f39eb2a3bf9fd|we can try.
nos podemos vestir os seus brinquedos|0.0

prompt_f40d329244979433cd4e1d78dd8fa3d0|he's looking down.
ele esta demandando ver|0.0

prompt_e6d35f24a880bdc3e47c0689834d8289|don't put the bananas in the fridge.
nao coloque as pessoas dentro do frigorifico|0.0

prompt_492b8f02dc627e4a556eb6b4c2e626f0|we do not use the scissors.
nos nao uso o municipio|0.0

prompt_02631fa6052a288ba6b4d73fb28e9324|tax is not included.
o imposto nao esta incluido|0.0

prompt_0eb454283237a948cb3c52d081ae6aeb|yesterday we did not drink wine.
ontem nao o que nao se de voce|0.0

prompt_30d1b6e771f689473c9f1eef2f640d29|the woman with long hair.
a mulher esta com um cabelo vermelho|0.0

prompt_f01bf30d5e2ec175dfe47f3a2a8fa57f|i haven't found my bracelet yet.
eu nao encontrei meu bracelete|0.0

prompt_7d880bc5ad7b6314df16d45d2640815f|my uncle is a cook at a german restaurant.
meu tio e uma boa em um restaurante em um restaurante em um restaurante italiano|0.0

prompt_aac462e5a17a18b9b65393f1e85bf8c7|why are they playing so badly?
por que eles estao a jogar bola quando eu se machucaram ?|0.0

prompt_dbd9824d22f84fdcc11b363190177def|which form should i fill out?
qual garfo , eu ja se viste o que ?|0.0

prompt_448644617937849208aef8caea7ae369|where do you keep the jam?
onde voce guarda o website ?|0.0

prompt_941e27d3b5af3e4ddc300f2854fdbf66|they study together every morning.
eles estao a cada domingo elas estao a cada semana|0.0

prompt_c473320a2eb15731bd40c68402633ffd|this afternoon or this evening?
esta noite , esta a venda ?|0.0

prompt_05d5f319feb08f87bd64af1384967e56|they are not independent.
eles nao sao o meu cao|0.0

prompt_437e17fe7bbcf48af144722c1f43c1d8|this is my sister's pet.
esta e minha irma esta funcionando|0.0

prompt_5af70670169d6503c945d5c45cdc61cf|i usually read the news on the internet.
eu leio o violino faz a cozinha|0.0

prompt_c919fbc4fa0e35d46c9df3bc65657904|there is no subway in this city.
nao tem nenhuma coisa nesta cidade|0.0

prompt_38dcdf02d8ac7944063bffe9a8a1120e|do you want to study in the united kingdom?
voce quer estudar no que ?|0.0

prompt_810264873cff0f1352e2768ce38428df|what color are her eyes?
que cor e os seus pais ?|0.0

prompt_a226550b76a0399ca25b68463571d961|how much salt does he need?
quanto tempo que tem necessidade de quanto sangue ?|0.0

prompt_c6cdcdc49c2e69595d553f4dae76b176|the green bowls are not theirs.
a guerra elas nao estao limpos ?|0.0

prompt_48b615026104e29128453303774d3d19|some of the boys play basketball.
algumas das meninas estao brincando de sol|0.0

prompt_c8687100c3c27b8f24e87022188afbe1|do you like to play soccer?
voce gosta de jogar bola ?|0.0

prompt_66a74afabf05dab4f820706215ba92c3|how many children does she have?
quantos dentes tem quantos irmaos ?|0.0

prompt_0411955216a5f68dae43c03c27d1b2ce|i decided not to help you.
eu nao vou ajudar voce|0.0

prompt_6365539e712d8c58e9bef0b263ac3106|do i need an operation?
eu preciso de uma esponja ?|0.0

prompt_3070a0222fc2ed546a4652521fdf0e2a|did they have fun in morocco?
eles tem estado de fechar o mesmo ?|0.0

prompt_3d39b6986c61fb55bc0803d8f43714fb|they are approximately the same age.
eles estao a mesma palavra e|0.0

prompt_32462be05e7b1bec9d92b328230bd130|we are good at that.
nos estamos a fazer uma rata|0.0

prompt_18cf0cac7cb672a97086ee03d0aae671|i will not watch too much tv.
eu nao vou errar em demasia|0.0

prompt_71beaef4c0a636f26a3638593062080c|i want to stop smoking.
eu quero falar de fumar|0.0

prompt_fabcba89db7444abeb28fb0b1a0593fe|i respect them.
eu as irma|0.0

prompt_7aa2325a34c2ae872f97133630ea75a1|fred isn't eating anything.
fred nao esta a gostar de nada|0.0

prompt_0691747383062ad4d9cd9273714684c5|where is the supermarket?
onde e o fogo ?|0.0

prompt_54cb15967e08cab1e5ddc4a204dfc079|do they have another phone number?
eles tem um telefone mais uma vez ?|0.0

prompt_d456513b485eedede405761127ee6a81|the nurse came and put a cup of water on the table.
a enfermeira se sente uma gorjeta na mesa de mesa de mesa de mesa de mesa de mesa de mesa|0.0

prompt_25356f22a9c28116af3a3c9508826499|guests should not use the pool after midnight.
os sapatos nao pode ser que esta a desejar ficar a respeito de livros|0.0

prompt_b63bcea4dea441a0d69b5bec61d7bd5f|my doctor works at a big hospital.
meu medico trabalha em um grande de um grande ?|0.0

prompt_2cf0be64f62461b63a24fc2eb8891d3f|i would be happy if they gave me a car.
eu gostaria de beber um tio se eu eles me fizeram um carro|0.0

prompt_fa72fdea4a0f7e2be5b28b262358c4e0|i really like fruit.
eu gosto de fruta|0.0

prompt_0e9f7a5db7c85d01380d146ddb974698|he definitely likes her.
ele esta a gostar de sua cadela|0.0

prompt_606852e77ad8c43c2d02c12b6f7ce4fb|the model has long, blond hair.
o simio tem pouco de cabelos e loiro|0.0

prompt_997a11fa3fe6af9ba41c339632b4aab3|why does the bear hate tomatoes?
por que e que o que o que tiver o preco com o teste de ouro ?|0.0

prompt_5ddd4fc0b1d7cf15304444da97748fbd|my jeans are too big.
meu irmao tem muito grandes ?|0.0

prompt_412bcf2e855d5e3f65c2ef21102c77a4|the turtles opened a fast food restaurant.
as tartarugas estao a bicicleta mais ?|0.0

prompt_bec7ce872d0008b15c1d071635acfca3|how many factories do they have?
quantos patos tem elas ?|0.0

prompt_854eeff1a978e13a610cc17a9f56aa70|what do you eat?
o que voce esta comendo ?|0.0

prompt_28433c0a2183777ce9525270590844b8|very happy.
muito dificil de verdade|0.0

prompt_56bc4b6cee02d23be8a6cef33ee4c173|i received my diploma in 2005.
eu encontrei meu pe de frances|0.0

prompt_f9181232383101155364e3506dccda6a|many people thought that the new dance was bad.
pessoas gastam que a tela novo|0.0

prompt_31f326fdd78097aa64be86f8edd186a3|she does not have a family.
ela nao tem uma familia|0.0

prompt_9000c4e29f152588fbdc72a8f58d4ec1|they eat beef.
eles comem carne vermelha|0.1500992290651761

