English|Portugese
they have free coffee.|eles estao comprando cafe ?
please, do not wake her now.|por favor , por que passaria ontem agora
there's a hotel close to the village.|ha um cobertor vermelho para o topo da estrada ?
i want to see the world.|eu quero ver a resposta ?
do they like each other?|eles gostam de um lapis ?
is that your home address?|esse e sua casa ?
i have already heard that song.|eu ja jogou aquela musica ?
i have a problem.|eu tenho uma pergunta
he's not going to come again.|ele nao vai viajar ate amanha
i need a bigger size.|eu preciso de um reino unido
would you like to try on those shoes?|voce gostaria de experimentar bananas tambem ?
they'll go fishing again.|eles vao comer amanha ?
what do they look like?|que horas eles gostam de ?
the bowls are in the cabinet on the right.|os taxis estao na sua terra
how much is the tax?|quanto e o predio ?
she has to finish this version by next monday.|ela tem esperado por uma carta na floresta
they work at a university.|eles trabalham em uma universidade
joseph was not at work yesterday.|por meu amigo no trabalho no dia !
that is the best offer i have ever received.|aquele e o rato se encontraram e o aeroporto no aeroporto no aeroporto ?
my oldest sister lives in the uk.|minha comida estavam aprendendo no japao
when can we practice singing?|quando voce pode fazer hoje ?
this is a nice apartment too.|este e um problema serio de sapatos ?
my parents spoke spanish at home.|meus pais pelo menos noite passada
my children love winter.|minha esposa dos estados unidos esta da manha
pop is my favorite kind of music.|ha um banho de la ?
is she a good soccer player?|ela e uma capa de comida neste campo ?
have you guys ever gone camping?|voces ja foram pagar ?
the answer is on page eighty five.|a resposta e no preco cinco anos
i will find a job tomorrow.|eu vou encontrar a acrescentar agora ?
that is a really good movie.|esse e um bom tao perto ?
how long will it take to cross the ocean?|quanto tempo vai para o livro para a manha ?
did he do it by himself?|ele terminara isso ?
what time is dinner?|o que esta o seu cavalo ?
will they exercise tomorrow?|eles vao dancar ?
he hasn't met my grandma yet.|ele nao conheceu meus pais desde sexta feira !
i will lose my house.|eu estarei em uma casa
they've never had a boring party.|eles nunca tiveram um pouco de biologia ?
we're going to egypt next year.|nos estamos indo para o hotel ?
can she pick up all of those plates?|eu deveria experimentar estas novos novos dele ?
has the mouse packed its suitcase yet?|o rato estava aberta ?
are you busy tonight?|voce esta vindo ?
the flower shop is just before the mall.|o aniversario e tao longa o suficiente
there is a golden key that opens this box.|ha uma agencia que este hotel ?
i had a chat with my best friend.|eu tomei um papo com meu filho
my grandfather gave me his watch.|meu avo conheceu sua mae ?
there are four banks on this street.|ha arvores nesta salada
the restaurant is inside the hospital.|o colar esta e no cafe
can i sit here?|eu posso me trazer aqui ?
i will pay in cash.|eu carregarei isso de musica de bolo !
i am not as tired as you.|eu nao sou mais sentar quanto ?
the bear traveled to japan by ship.|o urso comeu para o acidente toda semana !
the dog ate my burger!|o cachorro comeu minha minha cabeca !
why did you stay at that job?|por que voce escolheu a india para o churrasco ?
tom has lost every match since then.|que horas comecara em musica tudo !
do they have jobs?|eles tem planos ?
the vegetables from the supermarket are not very fresh.|o treinamento dele e muito
i am getting my diploma next week.|eu estou viajando para aquele filme nacional ?
we might win this game.|pode ser que nos trazer aquele curso de aniversario ?
let's make omelets for breakfast.|vamos faz todas as frutas do almoco ?
the skirts are too expensive.|os legumes sao dezesseis dolares
i remember when i started to cover this subject.|eu sei que eu lembraria para isso voces tipo de soul
you can't take a train from here.|voce nao pode dirigir um carro de ingles ?
what i want is for them to talk, they are brothers.|o que eu estou fazendo eles perderao o jogo
the mouse learned a lot of songs in spanish.|o rato tomou muito xampu na quinta feira
normally, men are taller than women.|tudo certo , sao mais de janeiro ?
her pants are too small.|as flores sao cerca de andar
he is going to ireland to visit his parents, isn't he?|ele vai comecar o apartamento , o apartamento , o apartamento , o apartamento , o apartamento ,
mary's neck hurts when she reads.|qual posto de lavar ela escolheu ?
who walked with you to the museum?|quem fez meu dinheiro para o museu ?
her marriage is over.|o nome dela e sobre todo
what part of africa are you from?|qual e gratis ?
it is a new section.|e um almoco ?
he assumes we are human.|ele come que isso ?
those shoes are expensive.|aqueles sapatos sao caras
there was a great lack of rice that year.|havia um gato tomou aquele museu isto
how much is the rent?|quanto e o lugar ?
julia likes music.|com aquela viagem de manha ?
the plane will be taking off as soon as possible.|o aviao sera para a policia
where is the concert?|onde e o custo depois das fotos ?
can you give me another example?|voce pode me responde rapido ?
the boss knew about the problems.|o chefe disse que o calice magico !
my favorite jacket.|meu chapeu de menu
i do not think so.|eu nao estou da mae
smoking is bad for you.|quantos sao rapidos ?
we stopped dancing at 1 a.m.|nos tinhamos conhecido a casa
are you making a sandwich now?|voce esta se mudando para pedir ?
we can try.|nos podemos ouvir de volta ?
he's looking down.|ele esta saindo ?
don't put the bananas in the fridge.|nao coloque o trem no dia ?
we do not use the scissors.|nos nao usamos a placa
tax is not included.|hoje nao e caro !
yesterday we did not drink wine.|amanha , nao come beber
the woman with long hair.|o carro sempre meu time
i haven't found my bracelet yet.|eu nao falo fazer isso novamente
my uncle is a cook at a german restaurant.|meu tio e um grande demais de um restaurante de danca
why are they playing so badly?|por que eles estao com um com o jantar ?
which form should i fill out?|com cachorros se parece ?
where do you keep the jam?|onde voce guarda o livro ?
they study together every morning.|eles fazem negocios juntos
this afternoon or this evening?|este filme ou mais ?
they are not independent.|eles nao estao estudando hoje
this is my sister's pet.|este e minha irma tao divertida !
i usually read the news on the internet.|eu gostaria a loja no banheiro ?
there is no subway in this city.|nao ha mais quente facil ?
do you want to study in the united kingdom?|voce quer dar sua capa de voar ?
what color are her eyes?|o que os homens tem ?
how much salt does he need?|quanto sal ele precisa ?
the green bowls are not theirs.|os estudantes vao nao e amanha
some of the boys play basketball.|algumas das arvores conhecimento
do you like to play soccer?|voce gosta de jogar futebol ?
how many children does she have?|quantos quilometros dela e seu ?
i decided not to help you.|eu nao quero que voce ?
do i need an operation?|eu preciso de um cafe vermelha ?
did they have fun in morocco?|eles tem estudantes mes ?
they are approximately the same age.|eles estao todos os semana !
we are good at that.|nos temos bons estudantes primeiro longo ?
i will not watch too much tv.|eu nao tenho medo do almoco
i want to stop smoking.|eu quero comer junto !
i respect them.|eu assisti onde eles ?
fred isn't eating anything.|shorts nao esta aberto daqui
where is the supermarket?|onde e o mais do que a algum ?
do they have another phone number?|eles tem que esperar com amanha ?
the nurse came and put a cup of water on the table.|o equipamento minimo e um restaurante de agua
guests should not use the pool after midnight.|ambos nao podem fechar a cama ?
my doctor works at a big hospital.|minha crianca trabalha em uma cidade
i would be happy if they gave me a car.|eu olho la que eles me vestir um pouco de festa ?
i really like fruit.|eu realmente gosto de feijao ?
he definitely likes her.|ele gosta da sua manha ?
the model has long, blond hair.|o artista acabou , o rato quanto
why does the bear hate tomatoes?|por que pensaria sobre todo dia ?
my jeans are too big.|minha aula estao grandes
the turtles opened a fast food restaurant.|as tartarugas trabalham em um restaurante de leite
how many factories do they have?|quantos cantores de musica de ?
what do you eat?|o que voce voce ?
very happy.|cada meu cachorro
i received my diploma in 2005.|eu mudei meu dicionario em volta da manha
many people thought that the new dance was bad.|pessoas parece se de tres anos
she does not have a family.|ela nao tem um cachorro
they eat beef.|eles almocam de violao
it's two o'clock now.|sao duas horas
they bought new furniture.|eles jogam beisebol dele ?
she searches for food.|ela procura por um hamburguer
i'm not busy this morning.|eu nao estou triste !
do birds like salt?|querido irmaos gostou daquela torrada ?
i love my country.|eu amo muitas costas dela !
the girl eats pork.|o professor come carne !
i wake up and take a shower.|eu acordo as coisas
everyone always asks me that.|todo mundo esta de algo amanha ?
the police haven't come yet.|a policia nao veio ainda ?
they live here.|eles estudam rapido ?
i usually get up late.|eu normalmente sai
the machine was repaired last week.|a praca estava leva promocao
do you remember the name of the hotel?|voce o nome daquela caixa ?
i have an older brother and a little sister.|eu tenho uma pessoa este pe de pop de pop de pop de pop de pop de pop
has marco ever had a job?|aquele lencol sempre um sanduiche com o outro ?
i was a baby.|eu estava um bebe
you can use this soap.|voce pode cozinhar esta bem ?
she doesn't look like her mom.|ela nao gosta deste escritorio dela
how is your family?|como esta como seu irmao ?
my cellphone is in my back pocket.|meu filho esta em minha mae de novo
she doesn't want to go to the concert.|ela nao quer que sair ao meio dia !
is anyone using the washing machine?|seu tenho que seu cabelo ?
classes are taught in english.|ambos os homens correram para ingles
i will look at the floor.|eu vou olhar o primeiro violao
the kids can go for a swim.|com suas faculdade , como um peixe ?
we'll be playing against you guys next week.|nos faremos jogar com aquele tipo de semana
her height, which is five feet, six inches.|o que voce tiver e sobre dez de semana
we need to reach that train.|nos precisamos estacionar o livro !
they only danced with each other.|eles so falando um restaurante
i need to learn.|eu preciso de pasta de cereal ?
the kids will practice the play after school.|as criancas vao cobrir os cachorros
click here to download.|obrigado vem para cachorros
maybe the directions were wrong.|alberto tocou musica errado ?
the people talk to the king.|os estudantes encontrou os filhos dela
julia has already shown me around.|com quem voce me contou agora
he will sleep in the same room as her.|ele vai anotar o passaporte dela
his brother is in prison.|o prato dele tem o cafe da manha ?
there are no bathrooms on the third floor.|nao ha salas de aula no telhado ?
the girl is too young for that.|a menina e divertido da viagem !
they cannot start without us.|eles nao terminamos a reuniao , entao ?
they announce your book.|eles anunciam seu livro ?
should i add some pepper?|eu deveria trazer ingles ?
i never used to see you when i was a girl.|eu nunca costumamos ver eu estava com meu filho
the pink car is not ours.|os senadores estao nao e !
i want to buy clothes.|eu quero comprar violao
did you leave the boxes on the shelf?|voce leu o quarto na loja ?
we were standing in the middle of the platform.|nos estavamos no primeiro longo da manha ?
there will be an art show downstairs.|ha um bom um vestido do que cinco de janeiro
take food and water.|minha comida e agua
what's your favorite band?|qual e sua materia de janeiro ?
are there any hospitals in this town?|ha direcoes para este carro ?
she wanted her sister's toy.|ela perdeu o namorado dela e roubado !
my father is not as old as he looks.|meu pai nao e o caminho do aeroporto ?
you are driving really fast.|voce esta realmente andar
breakfast will be ready in a few moments.|a esposa nao tem um restaurante na semana
can you look down?|voce pode se juntar a nos ?
she is currently a model.|ela esta em um hospital
my name is luis.|minha tia esta disponivel !
they want to know what happens.|eles querem saber qual manha ?
how are you?|como voce e ?
most people in canada speak english or french.|noventa sao em nosso idioma
how much oil should i use?|quanto dinheiro se eu usar se de ?
i will get a basket for the apples.|eu pegarei a loja de verificar a festa no fim de semana !
i wash my face every night.|eu entrego minha direcao a noite toda noite
can i see the blue dress?|eu posso ver o vestido ?
they have put their pants on.|eles tem botas no dia deles
never mind, it doesn't matter.|deixa pra la , nao come ainda
our goal is to spend less.|havia foto e se horas !
he'll be leaving as soon as possible.|ele sera fazer o melhor dela
he needs a job.|ele precisa de um ao jantar
do you want any ice cream?|voce quer encontrar um barulho ?
my pencil doesn't have an eraser.|minha esposa estarao de tirar o dia dela !
i'm going down the street to buy ice cream.|eu vou visitar o hotel para minha bolsa de la
we really wanted to go to australia.|nos nunca come para o jornal
i made a few mistakes on the test.|eu fiz algumas pessoas na secadora ?
we had known our mother.|nos tinhamos conhecido aquela rua !
he's still very attractive.|ele nunca fala com o amor
i use a computer at work.|eu uso um computador no parque ?
i don't know his first name.|eu nao sei o nome dele ?
he and his wife will be at the hotel tonight.|ele e a eletricidade nos estados unidos no sabado
would you like any chocolate ice cream?|voce gostaria de trazer um video ?
i'm not fine.|eu nao vou bem
we lived in germany last year.|nos apresentamos a sua viagem ?
he speaks many languages.|ele fala la por si de manha
don't throw the ball in the house!|nao jogue o caminho a casa ?
the girl asks for water.|o professor esta aberto em mim
i showed them part of the museum.|eu pensei que os pratos do pe dele
he stayed at the museum for three hours.|ele vai no aviao na geladeira
we're taking the subway to the zoo.|nos estamos indo a porta do que a cama ?
is that monica's phone?|o que esta frio esta dela ?
do you need to go?|voce precisa para a alemanha ?
hit the ball with the racket.|o que o caminho para o seu marido ?
john is too young to drink beer.|esta de john foi sobre a noite , entao , a noite , entao , a noite ,
the bus left at a quarter to nine.|a programacao do trem acabou de um clube a biblioteca ?
we were not invited.|nos nao precisamos de volta
