English|Portugese
they have free coffee.|elas estao a conversar uma equipa de companhia
please, do not wake her now.|se nao e capaz de ler essa a gente
there's a hotel close to the village.|existe uma aranha a sua residencia de agricutores na praca todo sabado
i want to see the world.|eu quero ver o cinto de correio no lado negro
do they like each other?|eles estao a gostar de alguma coisa a sua classe ?
is that your home address?|essa e a residencia de voces ?
i have already heard that song.|eu estou com voce agora
i have a problem.|eu tenho um cartao postal a
he's not going to come again.|ele nao esta a ir ser um engano de vinho
i need a bigger size.|eu estou precisando de um guarda roupa mais
would you like to try on those shoes?|gostaria de vir para mim ?
they'll go fishing again.|elas irao estar indo estar indo estar indo estar indo estar indo estar indo estar indo estar indo estar indo
what do they look like?|o que e que elas estao a comer ?
the bowls are in the cabinet on the right.|os potes estao a vir no topo da cafeteria estao no pasto
how much is the tax?|quanto que o preco do preco ?
they work at a university.|eles estao a laborar em uma instituicao bancaria
joseph was not at work yesterday.|a sua fim de laborar na parada de momento
that is the best offer i have ever received.|esse e o mais inseguro da cidade
my oldest sister lives in the uk.|minha filha nao esta a querer aulas de aula de arte
when can we practice singing?|quando e que voce ira tentar passaporte ?
this is a nice apartment too.|esta e uma dificuldade grave
my parents spoke spanish at home.|meu marido se tornou se em um dia de anos
my children love winter.|as minhas tartarugas estao a se preocupem
pop is my favorite kind of music.|as alunas esta a habitar aqui na internet
is she a good soccer player?|ela tem uma boa comida ?
have you guys ever gone camping?|voces ja surfaram alguma vez ?
the answer is on page eighty five.|a sua cozinha esta disponivel no quadro de sua da noite
i will find a job tomorrow.|eu irei fazer um passaporte , porem eu vou fazer um passaporte , porem eu vou fazer um passaporte ,
that is a really good movie.|isso e um bom conselho
how long will it take to cross the ocean?|quanto tempo demorara para descarregar o programa novo ?
did he do it by himself?|ela fez isso sozinhas ?
what time is dinner?|a que hora e a que hora ?
will they exercise tomorrow?|elas estao a aprender ?
he hasn't met my grandma yet.|ele nao veio ate agora nao veio para seul
i will lose my house.|eu irei tirar a minha casa
they've never had a boring party.|elas nao estao a ler um tempo muito uma companhia
we're going to egypt next year.|nos iremos ate a ir ate o veiculo junto no proximo sabado
can she pick up all of those plates?|eu posso chamar de bote la ?
has the mouse packed its suitcase yet?|a igreja esta a igreja esta noite ?
are you busy tonight?|voce e voce esta a precisar de a maquina de matematica ?
the flower shop is just before the mall.|a loja de mensagens e a ir embora da mesma ao final do corredor
there is a golden key that opens this box.|ha um grande shopping center
i had a chat with my best friend.|eu encontrei um par de meu peito
my grandfather gave me his watch.|meu filho me tinha escrito um periodo
there are four banks on this street.|ha duas pessoas tem menos dois e disponivel
the restaurant is inside the hospital.|o livro e localizada no trabalho
can i sit here?|sou capaz de me capaz de me andar mais salada ?
i will pay in cash.|eu vou receber o meu peito
i am not as tired as you.|eu nao estou a gostar de me que nao sou permitido continuar a voce
the bear traveled to japan by ship.|o urso pagou por uma mesma dois pares de por aquele programa de rosa
the dog ate my burger!|o cao tem dente esta a casa
why did you stay at that job?|por que e que voce comprou um breve ?
tom has lost every match since then.|o a gente tem varios lencos de eu
do they have jobs?|elas tem elas ?
the vegetables from the supermarket are not very fresh.|os camundongo se reuniram no pasto
i am getting my diploma next week.|eu vou comecar no estomago no violao
we might win this game.|nos podemos locar um outro encontro
let's make omelets for breakfast.|vamos preparar uma outra freguesa na loja de salsicha
the skirts are too expensive.|o hotel sao demasiado grandes
i remember when i started to cover this subject.|eu desejo experimentar o leite no ano
you can't take a train from here.|nao da para voce ir para aquele local de autocarro
what i want is for them to talk, they are brothers.|eu quero que sentar proximo a pra esquerda ?
