English|Portugese
they have free coffee.|eles tem um cafe
please, do not wake her now.|por favor , nao se preocupe com sua irma
there's a hotel close to the village.|ha um hotel no ponto de trem
i want to see the world.|eu quero ver o suficiente
do they like each other?|eles estao a gostar de um outro ?
is that your home address?|aquela e sua casa ?
i have already heard that song.|eu tenho de coisa essa musica essa musica
i have a problem.|eu tenho um problema
he's not going to come again.|ele nao vai vir a gente
i need a bigger size.|eu preciso de um maior envelope
would you like to try on those shoes?|voce gostaria de experimentar esses sapatos ?
they'll go fishing again.|eles vao fazer mais uma vez mais uma vez
what do they look like?|o que eles gostam de ?
the bowls are in the cabinet on the right.|as tigelas estao no armario no lado da gente
how much is the tax?|quanto e o dolares ?
she has to finish this version by next monday.|ela deve fazer este livro no final da semana que vem
they work at a university.|eles trabalham em uma universidade
joseph was not at work yesterday.|joseph esta no trabalho ontem
that is the best offer i have ever received.|aquela e a melhor envelope de cozinha
my oldest sister lives in the uk.|a minha mamae esta a viver mais no trabalho de voar em cima do reino unido
when can we practice singing?|quando nos podemos fazer caminhada ?
this is a nice apartment too.|esta e uma bom meninas tambem
my parents spoke spanish at home.|meus pais estao aprendendo em casa
my children love winter.|meus filhos estao a doer
pop is my favorite kind of music.|como e minha sacola de soul pudesse
is she a good soccer player?|ela e uma boa boa ?
have you guys ever gone camping?|voces ja foram surfar ?
the answer is on page eighty five.|a resposta esta na pagina da prisao
i will find a job tomorrow.|eu vou encontrar um trabalho para o servico
that is a really good movie.|esse e uma pessoa e uma piscina
how long will it take to cross the ocean?|quanto tempo vai demorar para o oculos do nivel ?
did he do it by himself?|ele tinha o se sentir a sos ?
what time is dinner?|que horas que esta a janta ?
will they exercise tomorrow?|eles vao se alimentaram ?
he hasn't met my grandma yet.|ele nao encontrou a minha mulher ainda
i will lose my house.|eu vou receber minha casa
they've never had a boring party.|eles nunca tiveram um endereco de uma rua mais
we're going to egypt next year.|nos vamos para o proximo ano que vem
can she pick up all of those plates?|voce pode fechar o monte de seus presentes ?
has the mouse packed its suitcase yet?|o camundongo tinha a doer dela ?
are you busy tonight?|voce esta ocupada hoje ?
the flower shop is just before the mall.|a floricultura e apenas a clientes antes do shopping center
there is a golden key that opens this box.|ha uma tarde hoje essa pasta esta funcionando
i had a chat with my best friend.|eu tive um papo com meu melhor amiga
my grandfather gave me his watch.|meu avo me deu para seu trabalho
there are four banks on this street.|ha quatro bancos nesta rua
the restaurant is inside the hospital.|o restaurante esta no lado do museu
can i sit here?|eu posso sentar aqui ?
i will pay in cash.|eu irei fazer tomates ?
i am not as tired as you.|eu nao estou cansado como voces
the bear traveled to japan by ship.|o urso viajou ao parque no programa de forma ?
the dog ate my burger!|o cachorro comeu o meu sanduiche !
why did you stay at that job?|por que voce m foi no que voce e ?
tom has lost every match since then.|o grupo se a cada dia desde entao
do they have jobs?|eles tem uma retornar ?
the vegetables from the supermarket are not very fresh.|os legumes sao no pessoal e nao e muito connosco
i am getting my diploma next week.|eu estou levando o meu diploma que vem
we might win this game.|pode ser que nos vamos locar este jogo
let's make omelets for breakfast.|vamos preparar de preparar para o cafe da manha
the skirts are too expensive.|o aviso esta muito caro
i remember when i started to cover this subject.|eu me entendo me assisti a respeito de voces se eu fosse vender esse concerto esse concerto
you can't take a train from here.|voces nao conseguem fazer um trem de aqui
what i want is for them to talk, they are brothers.|o que eu quero pra mim , eu gostam de que eu gostam de que eu gostam de que eu
the mouse learned a lot of songs in spanish.|o camundongo andou por nivel em espanhol
normally, men are taller than women.|o , e que sao mais ocupadas do que os dias
her pants are too small.|sua calca esta muito grande
he is going to ireland to visit his parents, isn't he?|ele vai entrar no pais de linguica dele , nao e capaz de bracos dele , nao e capaz de
mary's neck hurts when she reads.|a maria esta a usar o dia ela estava a surfar
who walked with you to the museum?|quem fez com voce pro museu ?
what part of africa are you from?|o que esta a maior oito ?
it is a new section.|e uma nova pessima
he assumes we are human.|ele pressupoe que nos sejamos seres humanos
those shoes are expensive.|esses sapatos sao caras
there was a great lack of rice that year.|havia um erros de casa de ano que nao no proximo aquele ano
how much is the rent?|quanto e o aluguel ?
julia likes music.|a duo gosta de musica de conferir o que maneira
the plane will be taking off as soon as possible.|o aviao vai estar frio logo quanto possivel
where is the concert?|onde esta a do hospital ?
