English|Portugese
they have free coffee.|eles tem um cafe de cafe
please, do not wake her now.|por favor , obrigada , nao esta a cuidar dela ?
there's a hotel close to the village.|ha um hotel perto do que vem
i want to see the world.|eu quero ver o o nosso
do they like each other?|eles gostam de um outro cachorro ?
is that your home address?|aquela e a vossa casa ?
i have already heard that song.|eu tenho que eu tenho de comprar isso ?
i have a problem.|eu tenho um lapis ?
he's not going to come again.|ele nao vai vir de novo
i need a bigger size.|eu preciso de um maior envelope
would you like to try on those shoes?|voce gostaria de experimentar esses sapatos ?
they'll go fishing again.|eles irao a um passeio de novo
what do they look like?|eles estao achando ?
the bowls are in the cabinet on the right.|os potes estao no o lado direito
how much is the tax?|quanto e o valor daqueles relogios ?
she has to finish this version by next monday.|ela tem que esta a acabar a mensagem na segunda feira
they work at a university.|eles trabalham em uma universidade
joseph was not at work yesterday.|o seu trem no momento
that is the best offer i have ever received.|isso e a duo a todas as melhores solucoes
my oldest sister lives in the uk.|minha filha pequena esta a residir no reino unido
when can we practice singing?|nos estamos a fazer uma bicicleta ?
this is a nice apartment too.|este e um grande dia
my parents spoke spanish at home.|meus pais estao a iniciar em casa
my children love winter.|meus filhos estao a adorar o seu proprio
pop is my favorite kind of music.|a hockey e a gostar de grande de violao
is she a good soccer player?|ela e uma boa ideia de galinha ?
have you guys ever gone camping?|voces ja surfaram ?
the answer is on page eighty five.|a resposta esta na pagina da franca
i will find a job tomorrow.|eu vou achar um trabalho ?
that is a really good movie.|essa e uma boa ideia
how long will it take to cross the ocean?|vai levar quanto tempo vai levar para ser que vai levar para ser ?
did he do it by himself?|ele tem que ela se cortou a sua conta ?
what time is dinner?|que horas e o mais ?
will they exercise tomorrow?|eles vao me permitiram me ?
he hasn't met my grandma yet.|ele nao se encontrou a minha companheira
i will lose my house.|eu vou pegar minha casa
they've never had a boring party.|eles nunca tiveram uma vez por nos
we're going to egypt next year.|nos vamos para o egito no proximo ano
can she pick up all of those plates?|ela pode fazer o perigo
has the mouse packed its suitcase yet?|o rato ja se dela ?
