English|Portugese
they have free coffee.|eles tem cafe
please, do not wake her now.|por favor , nao come com ela dele
there's a hotel close to the village.|ha um passaro
i want to see the world.|eu quero ver a laranja do onibus
do they like each other?|eles gostam de um outro cardapio ?
is that your home address?|aquela e aula de semana ?
i have already heard that song.|eu ja vi aquela musica
i have a problem.|eu tenho um problema
he's not going to come again.|ele nao vai vir para ela
i need a bigger size.|eu preciso de um envelope maior
would you like to try on those shoes?|voce gostaria de experimentar estes sapatos ?
they'll go fishing again.|eles vao ficar soul
what do they look like?|o que eles comecam mais velho ?
the bowls are in the cabinet on the right.|as tigelas estao no chao no premio
how much is the tax?|quanto e o filme ?
she has to finish this version by next monday.|ela tem que a blusa branca na festa depois na festa depois na festa depois na festa depois
they work at a university.|eles trabalham em uma universidade
joseph was not at work yesterday.|o irma nao na manha toda semana
that is the best offer i have ever received.|isso e o direito de estar
my oldest sister lives in the uk.|meu irmao estava com o reino unido
when can we practice singing?|quando nos devemos seus pais ?
this is a nice apartment too.|este e um cachecol do quebra cabeca
my parents spoke spanish at home.|meus pais tocou musica em casa
my children love winter.|meus filhos certo
pop is my favorite kind of music.|kristy e meu numero demais
is she a good soccer player?|ela e uma dancarina ou em outubro ?
have you guys ever gone camping?|voces ja foram velejar ?
the answer is on page eighty five.|o cavalo do sofa neste bicicleta
i will find a job tomorrow.|eu vou encontrar meu compromisso
that is a really good movie.|esse e uma pessoa tao rico
how long will it take to cross the ocean?|quanto tempo demorara para o menor ?
did he do it by himself?|ele parece la sozinho ?
what time is dinner?|a que horas o carro ?
will they exercise tomorrow?|eles vao amanha ?
he hasn't met my grandma yet.|ele nao conheceu minha dinheiro ainda
i will lose my house.|eu vou apresentar meu amigo
they've never had a boring party.|eles nunca tiveram um tipo de acucar
we're going to egypt next year.|nos vamos para a comida no ano
can she pick up all of those plates?|ela pode ler as coisas do bob ?
has the mouse packed its suitcase yet?|o rato estava atrasado a bateria na mala ?
are you busy tonight?|voce esta aqui esta noite
the flower shop is just before the mall.|a floricultura e apenas privado do shopping
there is a golden key that opens this box.|ha um cobertor estao perto do meu livro demais para a caixa
i had a chat with my best friend.|eu tive um papo com meu amigo meu amigo
my grandfather gave me his watch.|meu avo me de cantar dele
there are four banks on this street.|ha quatro normal se meus nesta saia
the restaurant is inside the hospital.|a foto esta acima do e mais barata
can i sit here?|eu posso sentar aqui ?
i will pay in cash.|eu vou anotar o vento dele
i am not as tired as you.|eu nao estou tao cansado quanto ?
the bear traveled to japan by ship.|o urso tinha ao capitao dele
the dog ate my burger!|o cachorro comeu meu amigo !
why did you stay at that job?|por que voce comprou a idade ?
tom has lost every match since then.|o que os pessoas toda desde
do they have jobs?|eles tem seus trabalhos ?
the vegetables from the supermarket are not very fresh.|os legumes sao da cidade fica muito fresca
i am getting my diploma next week.|eu estou com meu computador no centro da cidade
we might win this game.|nos temos que eu e mary
let's make omelets for breakfast.|vamos pegar cozinhar para o cafe da cidade
the skirts are too expensive.|as coisas os beneficios !
i remember when i started to cover this subject.|eu moro quando eu cai para este filme
you can't take a train from here.|voce nao pode pegar um apartamento da tempestade
what i want is for them to talk, they are brothers.|como eu quero que eles estao la como nos disseram que eles estao la , nos ler ela
the mouse learned a lot of songs in spanish.|o rato se muitas fazer dez de outubro
normally, men are taller than women.|oh , e da frente
her pants are too small.|o ensino calcas !
he is going to ireland to visit his parents, isn't he?|ele vai vir para o bolo dela nao esta dela esta dormindo ?
mary's neck hurts when she reads.|tchau , se importa se importa se levanta , entao ?
who walked with you to the museum?|quem se importa de voce chegar na mesa ?
her marriage is over.|o colega de se lembra de ideia
what part of africa are you from?|qual e o dano ?
it is a new section.|e um carro eficiente
he assumes we are human.|ele nos estamos esta de
those shoes are expensive.|aqueles sapatos sao grandes !
