English|Portugese
they have free coffee.|eles tem um cafe
please, do not wake her now.|por favor , , nao , vem
there's a hotel close to the village.|ha um show especial para na proxima sexta feira
i want to see the world.|eu quero ver o mais tarde
do they like each other?|eles gostam de uma casa ?
is that your home address?|aquela e sua casa
i have already heard that song.|eu ja colocou aquela musica fotografia
i have a problem.|eu tenho um bom
he's not going to come again.|ele nao esta sair de novo
i need a bigger size.|eu preciso de uma resposta grande dia
would you like to try on those shoes?|voce gostaria de verificar estas sapatos ?
they'll go fishing again.|eles deixam pescar ?
what do they look like?|como sua irma parece como ?
the bowls are in the cabinet on the right.|as ovelhas sao os beneficios no lado do zoologico
how much is the tax?|quanto e a tartaruga ?
she has to finish this version by next monday.|ela tem que haja tempo a direita no mar
they work at a university.|eles trabalham em uma universidade
joseph was not at work yesterday.|joseph nao foi o trabalho ontem
that is the best offer i have ever received.|aquela e o problema prazer em popular demais demais
my oldest sister lives in the uk.|minha mae tem guardado a sopa
when can we practice singing?|quando nos devemos comecar por almoco ?
this is a nice apartment too.|esta e um bebe pequeno famoso
my parents spoke spanish at home.|meus pais gastam espanhol na china
my children love winter.|meus filhos dela e as cinco horas
pop is my favorite kind of music.|aprender e meu esporte favorita
is she a good soccer player?|ela e um peixe espanhol ?
have you guys ever gone camping?|voces ja foram conosco ?
the answer is on page eighty five.|a resposta e na pagina quatro de vinte e cinco de vinte e cinco de vinte e cinco
i will find a job tomorrow.|eu vou encontrar um emprego
that is a really good movie.|esse e um rato tao problema
how long will it take to cross the ocean?|como se machucou se eu nao na praia ?
did he do it by himself?|ele fez suas notas ?
what time is dinner?|o que horas o cafe ?
will they exercise tomorrow?|eles se apresentaram amanha ?
he hasn't met my grandma yet.|ele nao pagamos usar falado ainda
i will lose my house.|eu estarei na minha casa
they've never had a boring party.|eles nunca tiveram um documento uma hora
we're going to egypt next year.|nos vamos para o outro lado da manha
can she pick up all of those plates?|ela ouviu de todos a hora de moveis de julho ?
has the mouse packed its suitcase yet?|o rato ja dele esta dela ?
are you busy tonight?|voce esta ouvindo a noite ?
the flower shop is just before the mall.|a floricultura e completar antes de maio hoje a comunidade
there is a golden key that opens this box.|ha uma pena que ele esta caixa
i had a chat with my best friend.|eu tomei uma rua com meu amigo
my grandfather gave me his watch.|meu avo tem que aquele nome dela
there are four banks on this street.|ha algo esta neste numero
the restaurant is inside the hospital.|o restaurante e alta a entrada
can i sit here?|eu posso sentar aqui ?
i will pay in cash.|eu ja colocou os arquivos
i am not as tired as you.|eu nao estou tao cansado quanto voce
the bear traveled to japan by ship.|o urso costumava ver sobre o caso
the dog ate my burger!|o cachorro comeu meu tio meus !
why did you stay at that job?|por que voce escolheu na faculdade ?
tom has lost every match since then.|o agente os estudos dos meus amigos
do they have jobs?|eles tem chines ?
the vegetables from the supermarket are not very fresh.|a senhora white da coreia do dever de casa nao tem muito do que tres
i am getting my diploma next week.|eu estou comprando meu cartao no bolso dele
we might win this game.|pode ser que nos comem de usar
let's make omelets for breakfast.|vamos trazer uma coisa para o cafe da manha
the skirts are too expensive.|as cadeiras sao grandes caras
i remember when i started to cover this subject.|eu leio meu amigo esta interessada em isso
you can't take a train from here.|voce nao pode pegar uma mesa daqui
what i want is for them to talk, they are brothers.|o que eu queria que eles nao pensa em dinheiro em dinheiro
the mouse learned a lot of songs in spanish.|o rato de uma bandagem na sua floresta
normally, men are taller than women.|pode ser nada sao mais velha do que o rato
her pants are too small.|o voo dele sao pequena deles
he is going to ireland to visit his parents, isn't he?|ele vai tomar entrar no sofa , nao na minha mae , por semana , nao na noite
mary's neck hurts when she reads.|michael sao meninas comeca elas amigos
who walked with you to the museum?|quem estudou com voce do escritorio ?
her marriage is over.|o objetivo dela e sobre as
what part of africa are you from?|qual e bom a estrada ?
it is a new section.|e um bom vinte dolares
he assumes we are human.|ele nunca somos humanos
those shoes are expensive.|aquelas sapatos sao caras
there was a great lack of rice that year.|havia uma aranha tem nosso tempo para uma vez
how much is the rent?|quanto e quanto o aluguel ?
julia likes music.|julia gosta de la
the plane will be taking off as soon as possible.|o aviao estara decolando em nenhum tempo demais
where is the concert?|onde esta a pasta de dente ?
can you give me another example?|voce pode me dar outro novo ?
the boss knew about the problems.|o chefe , prazer em sobre o jeans
my favorite jacket.|meu ex favorita
i do not think so.|eu nao penso para a
smoking is bad for you.|ha importante para hoje
we stopped dancing at 1 a.m.|nos curtimos comemos das da manha
are you making a sandwich now?|voce esta fazendo um sanduiche agora ?
we can try.|nos podemos experimentar
he's looking down.|ele me ajudar isso
