English|Portugese
they have free coffee.|elas sao amigos sao engracados
please, do not wake her now.|, , nao andem
there's a hotel close to the village.|existe uma arvore tem uma esquerda
i want to see the world.|estou a odiar o exterior
do they like each other?|eles estao a pagar a outra tarde ?
is that your home address?|aquela e a sua mamae ?
i have already heard that song.|eu nao tem duas tudo disso
i have a problem.|eu tenho uma tambem
he's not going to come again.|ele nao esta indo pra um local
i need a bigger size.|eu necessito dum maior guarda roupa
would you like to try on those shoes?|gostariam de vir para beber ?
they'll go fishing again.|elas vao telefonar uma vez cedo
what do they look like?|que e que e que tu estas a comer ?
the bowls are in the cabinet on the right.|as duas em minhas criancas estao em as criancas esta em dias de fora do monte
how much is the tax?|quanto e o preco com o preco ?
they work at a university.|eles estao a trabalhar em um hospital
joseph was not at work yesterday.|o andre nao esta a estudar o mes
that is the best offer i have ever received.|esse e a mais perigoso
my oldest sister lives in the uk.|a minha filha esta a ir no mes de ontem
when can we practice singing?|quando e que voce vestido ?
this is a nice apartment too.|essa e um importante documento
my parents spoke spanish at home.|os meus avos fizeram danca
my children love winter.|os meus filhos estao a primeira premiacao
pop is my favorite kind of music.|qual e o meu amigo novo
is she a good soccer player?|ela e um bom limpo ?
have you guys ever gone camping?|voces tem uma cadela ?
the answer is on page eighty five.|a programacao do custo
i will find a job tomorrow.|eu vou encontrar uma pessoa assim como tu
that is a really good movie.|esse e um conselho e uma hora
how long will it take to cross the ocean?|quanto tempo levara pra baixar o programa novo ?
did he do it by himself?|ele ira ficar com a bicicleta ?
what time is dinner?|a que horas e a iniciar o que hora ?
will they exercise tomorrow?|elas vao estar apta a fernanda hospedaram
he hasn't met my grandma yet.|ele nao chegou no momento ate o trabalho
i will lose my house.|eu vou estar a minha casa
they've never had a boring party.|eles nunca corria para a hora
we're going to egypt next year.|nos estamos indo para uma boate de brinquedos no mes de noite
can she pick up all of those plates?|ela pode ele seriam capazes de pegar a sua mae ?
has the mouse packed its suitcase yet?|o simio ja pegou o mala ?
are you busy tonight?|voce esta atarefado ?
the flower shop is just before the mall.|a loja de flores esta a estacao de baixo
there is a golden key that opens this box.|tem um caixote especial no meu bairro
i had a chat with my best friend.|eu bebi um quarto com o meu melhor
my grandfather gave me his watch.|o meu avo minha tio se ela
there are four banks on this street.|existem duas camas para o cavalo no guia de viagem
the restaurant is inside the hospital.|o proximo do proximo do edificio
can i sit here?|eu sou capaz de ajudar me perto ?
i will pay in cash.|eu irei ver voce
i am not as tired as you.|nao sou tao cansada
the bear traveled to japan by ship.|o urso dormiu durante o museu
the dog ate my burger!|o cachorro estava tomando a sonhar que estava tomando conta do carneiro
why did you stay at that job?|porque voce comprou uma nova bicicleta ?
tom has lost every match since then.|uma duas pessoas tem estado a , eu estamos a , eu estamos a , eu estamos a , eu
do they have jobs?|tem eles a planejar realizar a planejar realizar a planejar realizar a planejar realizar a planejar realizar a planejar realizar
the vegetables from the supermarket are not very fresh.|os bichos de danca de danca valor depois da montanha
i am getting my diploma next week.|eu estou a apanhar a apanhar a respeito de verao
we might win this game.|nos estavamos a gente tinham o museu
let's make omelets for breakfast.|vamos fazer uma volta de volta
the skirts are too expensive.|a estacao de pulso sao pintados em excesso
i remember when i started to cover this subject.|eu estou a crer que eu estou conseguindo crer que eu estou conseguindo crer que eu estou conseguindo crer que
you can't take a train from here.|voce nao e capaz de um casaco em carne de usar um casaco em carne de usar um casaco em
what i want is for them to talk, they are brothers.|a que voce poderia dar uma pergunta ?
the mouse learned a lot of songs in spanish.|o rato corria pra uma nova aventura
normally, men are taller than women.|e o tempo , e que e o seu telefone celular !
her pants are too small.|as duas sao grandes em demasia
he is going to ireland to visit his parents, isn't he?|ele vai ser que ir ate o vidro no lado do mar
mary's neck hurts when she reads.|o marco esta a eu ficamos enfermos na blusa
who walked with you to the museum?|quem estao a avaliacao de danca
what part of africa are you from?|que e que esta a melhor tu estas a fazer uso ?
it is a new section.|ele e uma via uma grande
he assumes we are human.|ele assume que a gente seja humana
those shoes are expensive.|esses calcados sao de cha
there was a great lack of rice that year.|havia um espelho horrivel essa noite
how much is the rent?|qual e o preco a locacao ?
julia likes music.|a pintora escova de dente
the plane will be taking off as soon as possible.|o nosso licoes ira partir em outubro
where is the concert?|em que lugar esta o televisor ?
can you give me another example?|voces podem me dar um exemplo ?
the boss knew about the problems.|a empresa esteve a respeito dos seus filhos
my favorite jacket.|o meu telefone
i do not think so.|nao penso ela
smoking is bad for you.|o uau estava e dispendioso
we stopped dancing at 1 a.m.|nos devemos de fazer mais
are you making a sandwich now?|voce esta a viajar neste lugar ?
we can try.|a gente pode estudar
he's looking down.|ele apenas uma vez
don't put the bananas in the fridge.|nao corra com a louca neste arquivo
we do not use the scissors.|nos nao lemos o computador
tax is not included.|a sophia nao esta a esta a mesma
yesterday we did not drink wine.|ontem , eu nao compreendo
the woman with long hair.|a mulher nao tem cabelos momento
i haven't found my bracelet yet.|eu nao desejo nao finalizamos a minha turma
my uncle is a cook at a german restaurant.|meu tio e um lapis e um peixe
why are they playing so badly?|porque esta a essa camiseta ?
which form should i fill out?|qual dessas e a gente esta a sos ?
where do you keep the jam?|em que local voce colocou o que local ?
they study together every morning.|eles estao a estudar em conjunto cada dia
this afternoon or this evening?|esse trabalho sao capazes de agua
they are not independent.|eles nao sao capazes de estimacao
this is my sister's pet.|este e o meu filho a sua
i usually read the news on the internet.|eu li as janelas no canada
there is no subway in this city.|nao ha nenhum quarto de banho ca
do you want to study in the united kingdom?|voce quer sair neste momento ?
what color are her eyes?|qual cor de seu quarto ?
how much salt does he need?|quanto acucar tem necessidade ?
the green bowls are not theirs.|as instrucoes nao e precos
some of the boys play basketball.|alguns dos avisos sobre a cada semana
do you like to play soccer?|voce esta a gostar de jogar futebol ?
how many children does she have?|quantos anos tem ?
i decided not to help you.|eu nao estou a compreender o meu acidente
did they have fun in morocco?|eles ficaram a oeste
they are approximately the same age.|elas estao a se nos
we are good at that.|estamos a trabalhar em conjunto
i will not watch too much tv.|nao vou faltar a minha propria cabeca
i want to stop smoking.|eu estou a desejar carne
i respect them.|eu lhe me
fred isn't eating anything.|o josef nao esta a nadar
where is the supermarket?|em que lugar e o sitio ?
do they have another phone number?|eles tem necessidade de um piquenique ?
the nurse came and put a cup of water on the table.|a enfermeira pos uma placa na perna
guests should not use the pool after midnight.|as pessoas fizeram o teu bone de presentes
my doctor works at a big hospital.|a minha vo um bom dia de aniversario
i would be happy if they gave me a car.|eu iria adorar que eu iria me um bocado de pessoas como voce
i really like fruit.|eu estou a minha carteira de tudo
he definitely likes her.|ele consegue
the model has long, blond hair.|o pequeno elefante pequeno almoco
why does the bear hate tomatoes?|por que esta a pasta de por ?
my jeans are too big.|os calcados bem
the turtles opened a fast food restaurant.|as respostas por causa da mesma
how many factories do they have?|quantos quilos nos possuimos ?
what do you eat?|o que voce esta a comer ?
very happy.|alo , eu sem filme
i received my diploma in 2005.|eu morei no meu prato
many people thought that the new dance was bad.|a manhas foi o formulario na semana
she does not have a family.|ela nao possui uma motorista de novo
they eat beef.|eles estao a estudar
it's two o'clock now.|sao por
they bought new furniture.|elas compraram uma vez mais baixos
she searches for food.|ela possui a sua mae
i'm not busy this morning.|nao estou a desejar ser em momento
do birds like salt?|eles gostam de manga ?
i love my country.|eu adoro a minha mae
the girl eats pork.|a rapariga esta comendo carne
i wake up and take a shower.|eu vi a fazer um video divertido a jogar rugbi
everyone always asks me that.|sempre sempre alguma
the police haven't come yet.|a policia tinha de boi
they live here.|eles estao a estudar
i usually get up late.|eu estou a redigir mais
the machine was repaired last week.|a agricultora estava horrivel quinze minutos
do you remember the name of the hotel?|voces se incomoda de mais rapido , te o nome do seu lugar ?
i have an older brother and a little sister.|eu possuo um agendamento antes do nome dele
has marco ever had a job?|o meu pai jogou um professor universitario esta a cada dia ?
i was a baby.|eu estava na internet um filme
